# 1D Sod shock tube solution
# scheme = muscl
# nsteps = 221
# time =     0.2500000000
x,rho,u,p,E
    0.00000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.00500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01000000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.01500000,  1.0000000000E+00,  0.0000000000E+00,  1.0000000000E+00,  2.5000000000E+00
    0.02000000,  1.0000000000E+00,  3.6948620255E-18,  1.0000000000E+00,  2.5000000000E+00
    0.02500000,  1.0000000000E+00,  1.3295849936E-16,  1.0000000000E+00,  2.5000000000E+00
    0.03000000,  1.0000000000E+00,  3.4488162546E-16,  1.0000000000E+00,  2.5000000000E+00
    0.03500000,  1.0000000000E+00,  6.7119634016E-16,  1.0000000000E+00,  2.5000000000E+00
    0.04000000,  1.0000000000E+00,  1.1554512679E-15,  1.0000000000E+00,  2.5000000000E+00
    0.04500000,  1.0000000000E+00,  1.9379475201E-15,  1.0000000000E+00,  2.5000000000E+00
    0.05000000,  1.0000000000E+00,  3.3517087528E-15,  1.0000000000E+00,  2.5000000000E+00
    0.05500000,  1.0000000000E+00,  5.6012156357E-15,  1.0000000000E+00,  2.5000000000E+00
    0.06000000,  1.0000000000E+00,  9.0711713056E-15,  1.0000000000E+00,  2.5000000000E+00
    0.06500000,  1.0000000000E+00,  1.4359195232E-14,  1.0000000000E+00,  2.5000000000E+00
    0.07000000,  1.0000000000E+00,  2.2258888910E-14,  1.0000000000E+00,  2.5000000000E+00
    0.07500000,  1.0000000000E+00,  3.3813515404E-14,  1.0000000000E+00,  2.5000000000E+00
    0.08000000,  1.0000000000E+00,  4.9987765928E-14,  1.0000000000E+00,  2.5000000000E+00
    0.08500000,  1.0000000000E+00,  7.2471332416E-14,  1.0000000000E+00,  2.5000000000E+00
    0.09000000,  1.0000000000E+00,  1.0298406447E-13,  1.0000000000E+00,  2.5000000000E+00
